date,day,usage
1-May-16,Sunday,179
2-May-16,Monday,24.7
3-May-16,Tuesday,10.4
4-May-16,Wednesday,31.5
5-May-16,Thursday,3.7
6-May-16,Friday,24.8
7-May-16,Saturday,19.4
8-May-16,Sunday,100
9-May-16,Monday,36.4
10-May-16,Tuesday,9.82
11-May-16,Wednesday,21.3
12-May-16,Thursday,665
13-May-16,Friday,78
14-May-16,Saturday,113
15-May-16,Sunday,492
16-May-16,Monday,58.6
17-May-16,Tuesday,57.1
18-May-16,Wednesday,73.3
19-May-16,Thursday,54
20-May-16,Friday,76.3
21-May-16,Saturday,255
22-May-16,Sunday,95.7
23-May-16,Monday,54.9
24-May-16,Tuesday,34.8
25-May-16,Wednesday,167
26-May-16,Thursday,84.2
27-May-16,Friday,92.2
28-May-16,Saturday,49.8
29-May-16,Sunday,37.7
30-May-16,Monday,21.5
31-May-16,Tuesday,53
